Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
conditional Suit,,,,2022-05-12 13:48:02,2022-05-12 13:48:33,31.030s,FAILED
,,,,,,,
Test Cases/testing/Use Phone Number screen,,,,2022-05-12 13:48:02,2022-05-12 13:48:24,21.712s,PASSED
"startExistingApplication(""com.spotlove.releaseproduction"", STOP_ON_FAILURE)",,,,2022-05-12 13:48:03,2022-05-12 13:48:17,13.929s,PASSED
"if (waitForElementPresent(heart, 30))",,,,2022-05-12 13:48:17,2022-05-12 13:48:24,7.041s,PASSED
,,,,,,,
Test Cases/testing/Whats Your phone number,,,,2022-05-12 13:48:24,2022-05-12 13:48:33,9.059s,FAILED
"if (waitForElementPresent(DEETS, 30))",,,,2022-05-12 13:48:24,2022-05-12 13:48:26,1.423s,PASSED
"checkElement(findTestObject(""Whats Your Phone Number/We protect label text""), 15)",,,,2022-05-12 13:48:26,2022-05-12 13:48:26,0.406s,PASSED
"checkElement(findTestObject(""Whats Your Phone Number/flag""), 15)",,,,2022-05-12 13:48:26,2022-05-12 13:48:27,0.389s,PASSED
"setText(findTestObject(""Whats Your Phone Number/Enter country name""), ""US"", 15)",,,,2022-05-12 13:48:27,2022-05-12 13:48:29,1.927s,PASSED
"tap(findTestObject(""Whats Your Phone Number/Selected Country""), 15)",,,,2022-05-12 13:48:29,2022-05-12 13:48:30,1.190s,PASSED
"setText(findTestObject(""Whats Your Phone Number/Enter Phone Number""), ""9402029707"", 15)",,,,2022-05-12 13:48:30,2022-05-12 13:48:32,1.826s,PASSED
"checkElement(findTestObject(""Whats Your Phone Number/We never share label text""), 15)",,,,2022-05-12 13:48:32,2022-05-12 13:48:32,0.863s,PASSED
"checkElement(findTestObject(""Whats Your Phone Number/black lock icon""), 15)",,,,2022-05-12 13:48:32,2022-05-12 13:48:33,0.433s,PASSED
"tap(findTestObject(""Whats Your Phone Number/Whats your phone forward (button)""), 15)",,,,2022-05-12 13:48:33,2022-05-12 13:48:33,0.329s,PASSED
