Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SpotLove Sanity,,,,2022-06-20 12:47:15,2022-06-20 12:47:59,44.100s,ERROR
,,,,,,,
Test Cases/testing/intro 1,,,,2022-06-20 12:47:16,2022-06-20 12:47:40,24.417s,PASSED
"startExistingApplication(""com.spotlove.releaseproduction"", STOP_ON_FAILURE)",,,,2022-06-20 12:47:16,2022-06-20 12:47:32,15.675s,PASSED
"if (waitForElementPresent(hearticon, 30))",,,,2022-06-20 12:47:32,2022-06-20 12:47:40,8.080s,PASSED
,,,,,,,
Test Cases/testing/intro 2,,,,2022-06-20 12:47:40,2022-06-20 12:47:42,2.178s,PASSED
"if (waitForElementPresent(hearticon, 30))",,,,2022-06-20 12:47:40,2022-06-20 12:47:42,1.654s,PASSED
,,,,,,,
Test Cases/testing/intro 3,,,,2022-06-20 12:47:42,2022-06-20 12:47:44,2.295s,PASSED
"if (waitForElementPresent(hearticon, 30))",,,,2022-06-20 12:47:43,2022-06-20 12:47:44,1.878s,PASSED
,,,,,,,
Test Cases/testing/Use Phone Number screen,,,,2022-06-20 12:47:44,2022-06-20 12:47:46,1.832s,PASSED
"if (waitForElementPresent(logo, 30))",,,,2022-06-20 12:47:45,2022-06-20 12:47:46,1.516s,PASSED
,,,,,,,
Test Cases/testing/Enter Phone Number,,,,2022-06-20 12:47:46,2022-06-20 12:47:58,11.487s,PASSED
"if (waitForElementPresent(Back, 30))",,,,2022-06-20 12:47:47,2022-06-20 12:47:58,10.934s,PASSED
,,,,,,,
Test Cases/testing/OTP,,,,2022-06-20 12:47:59,2022-06-20 12:47:59,0.276s,ERROR
"if (waitForElementPresent(logo, 30))",,,,2022-06-20 12:47:59,2022-06-20 12:47:59,0.150s,PASSED
