Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
new,,,,2022-07-19 16:53:30,2022-07-19 16:54:13,43.048s,PASSED
,,,,,,,
Test Cases/testing/intro 1,,,,2022-07-19 16:53:30,2022-07-19 16:53:54,24.379s,PASSED
"startExistingApplication(""com.spotlove.releaseproduction"", STOP_ON_FAILURE)",,,,2022-07-19 16:53:31,2022-07-19 16:53:46,14.923s,PASSED
"if (waitForElementPresent(hearticon, 30))",,,,2022-07-19 16:53:46,2022-07-19 16:53:54,8.683s,PASSED
,,,,,,,
Test Cases/testing/intro 2,,,,2022-07-19 16:53:54,2022-07-19 16:53:57,2.652s,PASSED
"if (waitForElementPresent(hearticon, 30))",,,,2022-07-19 16:53:55,2022-07-19 16:53:57,2.096s,PASSED
,,,,,,,
Test Cases/testing/intro 3,,,,2022-07-19 16:53:57,2022-07-19 16:53:59,2.178s,PASSED
"if (waitForElementPresent(hearticon, 30))",,,,2022-07-19 16:53:57,2022-07-19 16:53:59,1.618s,PASSED
,,,,,,,
Test Cases/testing/Use Phone Number screen,,,,2022-07-19 16:53:59,2022-07-19 16:54:01,1.751s,PASSED
"if (waitForElementPresent(logo, 30))",,,,2022-07-19 16:54:00,2022-07-19 16:54:01,0.796s,PASSED
,,,,,,,
Test Cases/testing/Enter Phone Number,,,,2022-07-19 16:54:01,2022-07-19 16:54:13,11.794s,PASSED
"if (waitForElementPresent(Back, 30))",,,,2022-07-19 16:54:02,2022-07-19 16:54:13,10.909s,PASSED
