Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
fhakla,,,,2023-02-06 13:34:29,2023-02-06 13:35:01,32.503s,FAILED
,,,,,,,
Test Cases/Regression/LookUps/SL-01 First Intro Screen,,,,2023-02-06 13:34:29,2023-02-06 13:34:58,29.592s,FAILED
Start listener action : sampleBeforeTestCase,,,,2023-02-06 13:34:29,2023-02-06 13:34:29,0.010s,PASSED
"startExistingApplication(""com.spotlove.releaseproduction"", STOP_ON_FAILURE)",,,,2023-02-06 13:34:30,2023-02-06 13:34:48,18.824s,PASSED
"if (waitForElementPresent(logo, 10))",,,,2023-02-06 13:34:48,2023-02-06 13:34:58,10.026s,PASSED
else,,,,2023-02-06 13:34:58,2023-02-06 13:34:58,0.009s,FAILED
Start listener action : sampleAfterTestCase,,,,2023-02-06 13:34:58,2023-02-06 13:34:58,0.003s,PASSED
,,,,,,,
Test Cases/Regression/LookUps/SL-02 Second Intro Screen,,,,2023-02-06 13:34:58,2023-02-06 13:35:01,2.655s,PASSED
Start listener action : sampleBeforeTestCase,,,,2023-02-06 13:34:59,2023-02-06 13:34:59,0.002s,PASSED
"if (waitForElementPresent(btn_back, 10))",,,,2023-02-06 13:34:59,2023-02-06 13:35:01,2.109s,PASSED
Start listener action : sampleAfterTestCase,,,,2023-02-06 13:35:01,2023-02-06 13:35:01,0.001s,PASSED
